,reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
0,2FOAS.U01A-1,https://graham1695.com/collections/new-collection/products/fortress-blue?_pos=7&amp;_fid=e01eda3dc&amp;_ss=c,,Graham,,,FORTRESS BLUE,FORTRESS BLUE,,,USD,"7,950.00",graham1695.com/cdn/shop/products/Sanstitre_69_1800x1800.png?v=1633524797,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,['Are you 18 years old or older?'],https://cdn.shopify.com/s/files/1/0274/0921/9648/files/FORTRESS_-_technical_features_-_2FOAS.U01A.pdf?v=16372
1,2SXAS.B06A,https://graham1695.com/collections/new-collection/products/swordfish-black?_pos=1&amp;_fid=b4ef0006b&amp;_ss=c,,Graham,,,SWORDFISH BLACK,SWORDFISH BLACK,,,USD,"9,450.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,['Are you 18 years old or older?'],https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxas_steel_-_technical_features_3.pdf?v=16182
2,2CVAS.B31A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-noseart-tiger?_pos=18&amp;_fid=584622e1c&amp;_ss=c,,Graham,,,CHRONOFIGHTER VINTAGE NOSEART (TIGER),CHRONOFIGHTER VINTAGE NOSEART (TIGER),,,USD,"7,450.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,"['Over the years, Graham has recognised that some clients wish to remember a historical event.', 'Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour.']",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-tiger_-_technical_features_-_2cvas.b31a_1.pdf?v=16182
3,2FOBC.U02A,https://graham1695.com/collections/new-collection/products/fortress-gmt-blue?_pos=5&amp;_fid=e01eda3dc&amp;_ss=c,,Graham,,,FORTRESS GMT BLUE,FORTRESS GMT BLUE,,,USD,"5,950.00",graham1695.com/cdn/shop/products/2FOBC.U02A_1800x1800.png?v=1643791285,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,['Are you 18 years old or older?'],https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_01_10_CRO.pdf?v=16437
4,2CVAS.B03A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-light-brown?_pos=19&amp;_fid=584622e1c&amp;_ss=c,,Graham,,,CHRONOFIGHTER VINTAGE (LIGHT BROWN),CHRONOFIGHTER VINTAGE (LIGHT BROWN),,,USD,"6,950.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,"[""The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.\xa0"", 'The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.', 'Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.']",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_2cvas.b01_b02a_b03_u01a_technical_features_1.pdf?v=16182
5,2CCCK.O01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-translucent-orange,,Graham,,,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT ORANGE,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT ORANGE,,,USD,"15,950.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,['Are you 18 years old or older?'],"https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_superlight_carbon_skeleton_-_technical_features_-_2ccck.b41a_2.pdf?v=1618236604"">📄TECHNICAL SHEET AVAILABLE H"
6,2CVDS.U18A-2,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage-blue?_pos=4&amp;_fid=b9f565aa3&amp;_ss=c,,Graham,,,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BLUE,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BLUE,,,USD,"7,950.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,"['The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement.', 'Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.\xa0\xa0', ""The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort."", ""Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.""]",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_GRAND_VINTAGE_ARABIC_NUMERALS_-_technical_features_-_2CVDS.U18A_BLUE_49c65a81-f680-4a49-8cd3-8bdb88fbfd51.pdf?v=16503
7,2CCBK.G06A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-green?_pos=5&amp;_fid=95cc9c86a&amp;_ss=c,,Graham,,,CHRONOFIGHTER SUPERLIGHT CARBON (GREEN),CHRONOFIGHTER SUPERLIGHT CARBON (GREEN),,,USD,"13,950.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,"['The Chronofighter Superlight Carbon weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer.']",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=16182
8,2SXAK.B02A,https://graham1695.com/collections/new-collection/products/copie-de-swordfish-black?_pos=2&amp;_fid=b4ef0006b&amp;_ss=c,,Graham,,,SWORDFISH BRONZE BLACK,SWORDFISH BRONZE BLACK,,,USD,"10,450.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,['Are you 18 years old or older?'],https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxak_bronze_-_technical_features_5.pdf?v=16182
9,2CVDS.B29A,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage-with-arabic-numerals?_pos=2&amp;_fid=b9f565aa3&amp;_ss=c,,Graham,,,CHRONOFIGHTER GRAND VINTAGE WITH ARABIC NUMERALS,CHRONOFIGHTER GRAND VINTAGE WITH ARABIC NUMERALS,,,USD,"7,950.00","TCHES class=small--hide src=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 srcset=graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x.png?v=1613779040 1x, graham1695.com/cdn/shop/files/Graham_logo_pos_new_white_1_180x@2x.png?v=1613779040 2x",Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,"['The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement.', 'Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.\xa0\xa0', ""The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort."", ""Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.""]",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_grand_vintage-_technical_features_-_2cvds.b29a.pdf?v=16182
